"","color","congruency","rt","acc","sub"
"375","red","incongruent",0.695002127577936,TRUE,3
"376","blue","neutral",0.600545196609346,TRUE,3
"377","red","incongruent",0.700176600755185,TRUE,3
"378","green","incongruent",0.755624264327707,TRUE,3
"379","blue","congruent",0.56534267414736,TRUE,3
"380","red","incongruent",1.46971340468372,TRUE,3
"381","blue","neutral",0.785409556650848,TRUE,3
"382","blue","incongruent",0.795340882088567,TRUE,3
"383","green","neutral",0.709798065680843,TRUE,3
"384","blue","congruent",0.730588324456221,TRUE,3
"385","red","congruent",0.515284609840819,TRUE,3
"386","blue","neutral",0.515021327087197,TRUE,3
"387","red","congruent",0.469756429902191,TRUE,3
"388","green","neutral",0.709622412269709,TRUE,3
"389","blue","neutral",0.994844868433574,FALSE,3
"390","red","congruent",0.730148204112083,TRUE,3
"391","green","neutral",0.900317281374555,TRUE,3
"392","green","incongruent",0.679954353796347,TRUE,3
"393","red","neutral",0.730228728371912,TRUE,3
"394","red","incongruent",0.830049601365317,TRUE,3
"395","red","incongruent",0.580013878592581,TRUE,3
"396","green","incongruent",0.820425373352009,TRUE,3
"397","red","neutral",0.665426040441162,TRUE,3
"398","blue","incongruent",0.725709106899558,TRUE,3
"399","blue","neutral",0.594895472405369,TRUE,3
"400","green","incongruent",0.500155127619109,TRUE,3
"401","green","incongruent",0.544900169653374,TRUE,3
"402","blue","congruent",0.64555115303574,FALSE,3
"403","red","congruent",0.755355455399695,TRUE,3
"404","green","incongruent",0.689713578363808,TRUE,3
"405","green","incongruent",0.595069941635302,TRUE,3
"406","blue","incongruent",1.44071266927688,TRUE,4
"407","red","incongruent",0.520642043397856,TRUE,4
"408","red","incongruent",0.600531944078739,TRUE,4
"409","green","congruent",0.726839452440231,TRUE,4
"410","red","incongruent",0.914852631832446,TRUE,4
"411","blue","neutral",1.23527630815965,TRUE,4
"412","green","congruent",1.1804646734422,TRUE,4
"413","green","incongruent",1.52998185405966,TRUE,4
"414","blue","neutral",0.799551897507968,TRUE,4
"415","red","congruent",0.555761957787922,TRUE,4
"416","red","incongruent",1.0500716640305,TRUE,4
"417","green","incongruent",0.834861284410408,TRUE,4
"418","red","incongruent",0.605598360115437,TRUE,4
"419","green","neutral",1.12481541232569,TRUE,4
"420","blue","incongruent",0.620709582453856,TRUE,4
"421","green","incongruent",1.04471314453713,TRUE,4
"422","blue","congruent",1.1155521801378,TRUE,4
"423","blue","incongruent",0.675020693951069,TRUE,4
"424","blue","neutral",0.605023232093231,TRUE,4
"425","red","congruent",0.349831783934974,TRUE,4
"426","green","neutral",0.660492889057082,TRUE,4
"427","green","congruent",1.12571659096318,TRUE,4
"428","red","neutral",0.880423502644021,TRUE,4
"429","red","neutral",0.344693526237393,TRUE,4
"430","red","incongruent",0.379885282288342,TRUE,4
"431","red","neutral",0.509819610326076,TRUE,4
"432","blue","incongruent",1.04048790750903,TRUE,4
"433","blue","neutral",0.53039948305593,TRUE,4
"434","blue","neutral",0.320266572035734,TRUE,4
"435","green","incongruent",1.42016477003358,TRUE,4
"436","red","congruent",1.2150516963909,TRUE,4
"437","red","incongruent",0.560006536801666,TRUE,4
"438","red","congruent",0.355084119874505,TRUE,4
"439","red","congruent",0.325612460028196,TRUE,4
"440","red","incongruent",0.340174606815026,TRUE,4
"441","blue","neutral",0.619835245755667,TRUE,4
"442","green","congruent",0.550538042725179,TRUE,4
"443","red","incongruent",0.624942319435718,TRUE,4
"444","red","neutral",0.390083640272223,TRUE,4
"445","red","congruent",0.290093469158819,TRUE,4
"446","red","incongruent",0.355665958381564,TRUE,4
"447","blue","neutral",0.595221582182376,TRUE,4
"448","blue","congruent",0.590661610382199,TRUE,4
"449","green","neutral",0.46018096993339,TRUE,4
"450","blue","neutral",0.555313539508461,TRUE,4
"451","red","incongruent",0.670007567058406,TRUE,4
"452","green","incongruent",0.869447517890421,TRUE,4
"453","red","neutral",0.675010825590903,TRUE,4
"454","blue","incongruent",0.950485700943773,TRUE,4
"455","blue","congruent",0.475482454253211,TRUE,4
"456","blue","congruent",0.290634255288182,TRUE,4
"457","blue","incongruent",0.290418730305191,TRUE,4
"458","blue","incongruent",0.341411704427628,TRUE,4
"459","blue","congruent",0.389824694505251,TRUE,4
"460","blue","congruent",0.445014879513224,TRUE,4
"461","red","neutral",0.655337263045908,TRUE,4
"462","blue","congruent",0.509928162286315,TRUE,4
"463","blue","neutral",0.490109732216069,TRUE,4
"464","green","incongruent",0.940597998933413,TRUE,4
"465","green","neutral",1.24510835261935,TRUE,4
"466","blue","congruent",1.02032013749385,TRUE,4
"467","green","neutral",0.669838620734822,TRUE,4
"468","green","neutral",0.499927171503032,TRUE,4
"469","blue","congruent",0.81567363991303,TRUE,4
"470","green","incongruent",0.675491612091264,TRUE,4
"471","red","neutral",1.48524542019277,TRUE,4
"472","green","congruent",0.665206807273762,TRUE,4
"473","green","neutral",0.505208323053694,TRUE,4
"474","green","congruent",0.520683095775553,TRUE,4
"475","blue","incongruent",0.814925223488672,TRUE,4
"476","blue","congruent",0.460177812058191,TRUE,4
"477","red","congruent",0.499834803653243,TRUE,4
"478","green","incongruent",0.689976785669955,TRUE,4
"479","red","congruent",0.534889586866939,TRUE,4
"480","red","incongruent",0.395622158652372,TRUE,4
"481","green","congruent",0.969624398375458,TRUE,4
"482","blue","congruent",0.53469419333851,TRUE,4
"483","blue","congruent",0.385045250378084,TRUE,4
"484","red","neutral",0.685077737019242,TRUE,4
"485","blue","congruent",0.695516488253247,TRUE,4
"486","red","congruent",0.5150553674207,TRUE,4
"487","green","incongruent",0.555377881215691,TRUE,4
"488","red","neutral",0.549944362186238,TRUE,4
"489","red","incongruent",0.53047171945127,TRUE,4
"490","red","incongruent",0.530166195024776,TRUE,4
"491","green","incongruent",0.734869534359404,TRUE,4
"492","green","congruent",0.466398431483412,TRUE,4
"493","red","congruent",0.508747511693059,TRUE,4
"494","red","congruent",0.434960599585679,TRUE,4
"495","blue","neutral",1.28530968295331,FALSE,4
"496","green","congruent",1.28969123480431,TRUE,4
"497","blue","incongruent",0.890353441235334,TRUE,4
"498","green","neutral",0.910030556389984,TRUE,4
"499","blue","incongruent",1.40552525530427,TRUE,4
"500","green","neutral",1.37969107296317,TRUE,4
"501","green","neutral",1.40505078455431,TRUE,4
"502","green","incongruent",0.519944152977018,TRUE,4
"503","blue","congruent",1.3903591648841,TRUE,4
"504","green","incongruent",1.04052895988661,TRUE,4
"505","blue","neutral",1.29048109834059,TRUE,4
"506","red","neutral",0.385612088977837,TRUE,4
"507","red","incongruent",0.305426926965083,TRUE,4
"508","red","neutral",0.290152679319021,TRUE,4
"509","blue","incongruent",0.720513438930084,TRUE,4
"510","red","neutral",0.710113766401719,TRUE,4
"511","blue","incongruent",0.76005595754873,FALSE,4
"512","green","incongruent",1.79012129793409,TRUE,4
"513","green","neutral",0.855254842502973,TRUE,4
"514","green","neutral",0.655519630339086,TRUE,4
"515","blue","incongruent",0.76026358784361,TRUE,4
"516","red","congruent",0.52482978065791,TRUE,4
"517","blue","neutral",0.590324901938061,TRUE,4
"518","green","congruent",0.595254345137619,TRUE,4
"519","green","incongruent",0.430144839893842,TRUE,4
"520","green","neutral",0.339967371254374,TRUE,4
"521","green","neutral",0.314850026585304,TRUE,4
"522","red","neutral",0.634776732301702,TRUE,4
"523","red","neutral",0.295035149124715,TRUE,4
"524","blue","incongruent",1.1649160853874,TRUE,4
"525","blue","neutral",0.99498766257625,TRUE,4
"526","red","congruent",0.550401464622496,TRUE,4
"527","green","incongruent",0.884914001189713,TRUE,4
"528","green","congruent",0.490148416187481,TRUE,4
"529","blue","congruent",0.600007342059826,TRUE,4
"530","red","neutral",0.530621718523662,TRUE,4
"531","blue","incongruent",0.705671030718577,TRUE,4
"532","green","neutral",0.874714064268233,TRUE,4
"533","red","congruent",0.295486725279488,TRUE,4
"534","blue","neutral",0.72535722476448,TRUE,4
"535","blue","neutral",0.424995529632952,TRUE,4
"536","green","congruent",0.564720455018232,TRUE,4
"537","green","congruent",0.355028462323958,TRUE,4
"538","green","congruent",0.354874121173225,TRUE,4
"539","red","congruent",0.635270150302972,TRUE,4
"540","green","congruent",0.634778311239415,TRUE,4
"541","green","incongruent",2.34582368379779,TRUE,5
"542","blue","incongruent",0.730592345607874,TRUE,5
"543","red","congruent",0.685507322463309,TRUE,5
"544","green","neutral",0.540974883642775,TRUE,5
"545","blue","congruent",0.349790733209375,TRUE,5
"546","red","incongruent",0.38000109735367,TRUE,5
"547","blue","neutral",0.420545921260782,TRUE,5
"548","blue","neutral",0.624657126538295,TRUE,5
"549","blue","congruent",0.420620920205693,TRUE,5
"550","green","incongruent",0.549861469055031,TRUE,5
"551","red","neutral",0.36985058236678,TRUE,5
"552","red","congruent",0.530309244330056,TRUE,5
"553","blue","incongruent",0.780274804024884,TRUE,5
"554","red","neutral",0.525047871036804,TRUE,5
"555","blue","congruent",0.64012901397291,TRUE,5
"556","red","neutral",0.520687669266408,TRUE,5
"557","blue","congruent",0.419972771436733,TRUE,5
"558","blue","congruent",0.479688904379145,TRUE,5
"559","green","neutral",0.510082818571391,TRUE,5
"560","red","congruent",0.435075190389398,TRUE,5
"561","red","congruent",0.38473116233763,TRUE,5
"562","blue","neutral",0.870239195317481,TRUE,5
"563","blue","neutral",0.445356361429731,TRUE,5
"564","blue","congruent",0.429993025098156,TRUE,5
"565","green","neutral",0.570821305542268,TRUE,5
