WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
3,1,3,1,162,3,1.1,1.237940675,1,1,0.134121029
1,1,5,1,163,3,1.7,0.789979348,1,1,0.223709137
5,1,2,2,164,3,0.8,0.885981747,1,1,0.201424943
1,1,2,1,165,3,0.8,1.157911825,1,1,0.209038531
1,1,2,2,166,3,0.8,0.934024312,1,1,0.209038531
3,1,5,2,167,3,1.7,0.725961991,1,1,0.35181662
3,1,5,1,168,3,1.7,0.901976134,1,1,0.35181662
5,1,1,1,169,3,0.5,0.933978903,2,1,0.210721375
3,1,2,1,170,3,0.8,0.918012819,1,1,0.524735241
5,1,3,2,171,3,1.1,1.189912106,1,1,0.168194701
5,1,4,1,172,3,1.4,0.88594598,2,1,0.171219188
1,1,1,1,173,3,0.5,0.981908568,1,1,0.208947906
3,1,1,2,174,3,0.5,1.013916314,2,1,0.19998631
5,1,5,2,175,3,1.7,0.934060079,2,1,0.151799527
5,1,2,1,176,3,0.8,0.918031169,2,1,0.201424943
3,1,2,2,177,3,0.8,0.853913664,1,1,0.524735241
5,1,5,1,178,3,1.7,0.917937553,1,1,0.151799527
1,1,1,2,179,3,0.5,1.253992911,2,1,0.208947906
1,1,3,2,180,3,1.1,1.222003516,1,1,0.181605703
5,1,2,1,181,3,0.8,0.597984815,1,1,0.201424943
3,1,3,2,182,3,1.1,0.869979274,2,1,0.134121029
5,1,2,2,183,3,0.8,1.02994709,2,1,0.201424943
1,1,2,1,184,3,0.8,0.917974875,1,1,0.209038531
5,1,3,2,185,3,1.1,0.85404398,2,1,0.168194701
1,1,5,2,186,3,1.7,1.301906093,2,1,0.223709137
5,1,3,1,187,3,1.1,1.173978368,1,1,0.168194701
1,1,4,1,188,3,1.4,1.189987373,1,1,0.186852648
3,1,4,1,189,3,1.4,1.093955116,1,1,0.185744309
5,1,1,1,190,3,0.5,0.998024252,1,1,0.210721375
5,1,4,1,191,3,1.4,0.917989493,1,1,0.171219188
3,1,5,1,192,3,1.7,1.845970899,1,1,0.35181662
5,1,5,2,193,3,1.7,1.189975865,2,1,0.151799527
3,1,2,1,194,3,0.8,0.869940086,1,1,0.524735241
5,1,4,2,195,3,1.4,1.269942512,2,1,0.171219188
1,1,1,1,196,3,0.5,0.997964537,1,1,0.208947906
3,1,2,2,197,3,0.8,0.998049755,2,1,0.524735241
1,1,4,2,198,3,1.4,0.981897061,2,1,0.186852648
1,1,1,2,199,3,0.5,1.013972919,2,1,0.208947906
3,1,3,1,200,3,1.1,1.029960774,2,1,0.134121029
1,1,3,1,201,3,1.1,1.029975081,1,1,0.181605703
3,1,1,2,202,3,0.5,0.661921619,2,1,0.19998631
3,1,5,2,203,3,1.7,1.717966664,1,1,0.35181662
3,1,1,1,204,3,0.5,0.98195491,1,1,0.19998631
1,1,2,2,205,3,0.8,1.014032012,2,1,0.209038531
1,1,3,2,206,3,1.1,1.013999045,2,1,0.181605703
3,1,4,2,207,3,1.4,1.221925139,1,1,0.185744309
1,1,5,1,208,3,1.7,1.238072547,1,1,0.223709137
5,1,5,1,209,3,1.7,1.157924577,1,1,0.151799527
5,1,1,2,210,3,0.5,1.269957751,1,1,0.210721375
5,1,4,2,211,3,1.4,1.525957202,2,1,0.171219188
1,1,1,1,212,3,0.5,0.965981672,1,1,0.208947906
5,1,2,2,213,3,0.8,0.949972046,2,1,0.201424943
5,1,3,1,214,3,1.1,1.045953606,1,1,0.168194701
5,1,5,1,215,3,1.7,1.126041549,2,1,0.151799527
1,1,4,2,216,3,1.4,1.301941238,2,1,0.186852648
3,1,3,1,217,3,1.1,1.109956657,2,1,0.134121029
3,1,5,2,218,3,1.7,1.781988064,1,1,0.35181662
3,1,5,1,219,3,1.7,1.125954154,1,1,0.35181662
5,1,2,1,220,3,0.8,0.965957724,2,1,0.201424943
3,1,1,2,221,3,0.5,0.566013147,1,1,0.19998631
5,1,1,1,222,3,0.5,0.630009044,1,1,0.210721375
5,1,4,1,223,3,1.4,0.88593074,1,1,0.171219188
1,1,2,2,224,3,0.8,0.981950556,2,1,0.209038531
3,1,2,2,225,3,0.8,0.838008539,2,1,0.524735241
1,1,4,1,226,3,1.4,0.854014745,1,1,0.186852648
3,1,3,2,227,3,1.1,1.126038128,1,1,0.134121029
3,1,1,1,228,3,0.5,0.838034043,1,1,0.19998631
1,1,3,1,229,3,1.1,0.853998883,1,1,0.181605703
5,1,3,2,230,3,1.1,0.933974238,1,1,0.168194701
1,1,1,2,231,3,0.5,0.774040012,2,1,0.208947906
3,1,4,2,232,3,1.4,0.901998838,1,1,0.185744309
3,1,2,1,233,3,0.8,0.966054761,1,1,0.524735241
1,1,3,2,234,3,1.1,0.805950409,2,1,0.181605703
1,1,2,1,235,3,0.8,0.933912034,1,1,0.209038531
5,1,1,2,236,3,0.5,0.805959739,1,1,0.210721375
1,1,5,1,237,3,1.7,1.078019512,1,1,0.223709137
5,1,5,2,238,3,1.7,1.014020505,1,1,0.151799527
3,1,4,1,239,3,1.4,1.093997726,1,1,0.185744309
1,1,5,2,240,3,1.7,0.837943537,2,1,0.223709137
1,1,5,1,241,3,1.7,0.965946838,1,1,0.223709137
1,1,4,2,242,3,1.4,1.381922191,2,1,0.186852648
5,1,3,2,243,3,1.1,1.094065528,1,1,0.168194701
5,1,1,1,244,3,0.5,1.109924622,1,1,0.210721375
3,1,5,2,245,3,1.7,0.918073778,1,1,0.35181662
5,1,1,2,246,3,0.5,0.805928638,1,1,0.210721375
