target,setsize,dyn,resp,rt,sub,exp,correct
Present,16,Dynamic,1,0.66539700897556,1,1,1
Present,16,Dynamic,1,4.07720304181566,1,1,1
Absent,16,Dynamic,2,2.80655582499639,1,1,1
Present,12,Dynamic,1,1.31246142510645,1,1,1
Absent,16,Dynamic,2,3.13595449539207,1,1,1
Present,12,Dynamic,1,1.07713140325177,1,1,1
Absent,12,Dynamic,2,2.87713882885146,1,1,1
Absent,12,Dynamic,2,3.13596633485031,1,1,1
Absent,12,Dynamic,2,3.15949872185593,1,1,1
Present,16,Dynamic,1,0.641831435330459,1,1,1
Present,8,Dynamic,1,1.21836177262776,1,1,1
Present,8,Dynamic,1,0.935950603483434,1,1,1
Absent,16,Dynamic,2,3.38303633939358,1,1,1
Present,12,Dynamic,1,1.52421465304542,1,1,1
Absent,16,Dynamic,2,3.12421965267822,1,1,1
Present,8,Dynamic,1,1.13593657397178,1,1,1
Absent,8,Dynamic,2,1.3242108336508,1,1,1
Present,12,Dynamic,1,0.983025630717748,1,1,1
Present,12,Dynamic,1,1.30067988251176,1,1,1
Present,8,Dynamic,1,0.900646224712546,1,1,1
Present,8,Dynamic,1,1.88891554992006,1,1,1
Absent,8,Dynamic,2,1.32420505677146,1,1,1
Absent,8,Dynamic,2,2.27713289425265,1,1,1
Present,16,Dynamic,1,1.55949639112259,1,1,1
Absent,16,Dynamic,2,2.4888903703104,1,1,1
Absent,12,Dynamic,2,2.5830298434139,1,1,1
Present,16,Dynamic,1,1.43007278137702,1,1,1
Absent,8,Dynamic,2,2.38302176621073,1,1,1
Absent,8,Dynamic,2,3.13601029799975,1,1,1
Absent,12,Dynamic,2,3.63010338432468,1,1,1
Present,16,Dynamic,1,0.9830284473137,1,1,1
Absent,12,Static,2,2.03008237530958,1,1,1
Present,12,Static,1,0.830081259899089,1,1,1
Absent,8,Static,2,0.712444696620878,1,1,1
Absent,12,Static,2,1.20655193008133,1,1,1
Absent,16,Static,2,1.58305147429382,1,1,1
Present,16,Static,1,0.606549143560187,1,1,1
Present,8,Static,1,1.03001801665414,1,1,1
Absent,12,Static,2,1.19478969999545,1,1,1
Present,12,Static,1,1.03005182248307,1,1,1
Present,16,Static,1,0.653600910907699,1,1,1
Present,12,Static,1,1.47716173520348,1,1,1
Absent,8,Static,2,1.14772204623478,1,1,1
Present,16,Static,1,1.73587596754624,1,1,1
Absent,12,Static,2,1.31242155970358,1,1,1
Absent,8,Static,2,1.0654529114945,1,1,1
Present,16,Static,1,1.01835526161085,1,1,1
Absent,12,Static,2,2.01833768069446,1,1,1
Present,8,Static,1,0.912393457907456,1,1,1
Present,8,Static,1,0.724175940480563,1,1,1
Present,8,Static,1,0.841838146840018,1,1,1
Present,12,Static,1,1.90070181145711,1,1,1
Absent,8,Static,2,1.50067016627509,1,1,1
Absent,16,Static,2,1.44184256537665,1,1,1
