Participant;Duration;Tempo;Stimuli_Nu;Decision;Music_Duration
Sub101;6;2;6;1;6.000071739
Sub101;7;1;5;2;7.000072872
Sub101;2;2;8;1;2.000057014
Sub101;2;1;4;1;2.000056259
Sub101;6;1;9;1;6.000055881
Sub101;6;2;4;2;6.000070984
Sub102;2;2;8;1;2.000412311
Sub102;7;1;2;2;7.000088352
Sub102;3;3;8;1;3.000075515
Sub102;5;3;1;2;5.000057014
Sub102;5;1;1;2;5.000057014
Sub102;4;1;8;2;4.000058524
Sub102;7;1;5;2;7.000056636
Sub102;6;3;8;2;6.000057391
Sub102;4;3;6;2;4.000057391
Sub102;6;1;5;1;6.000057391
Sub102;5;2;9;1;5.000057014
Sub102;4;1;7;2;4.000058902
Sub102;4;3;8;1;4.000057769
Sub102;5;3;1;1;5.000057014
Sub102;4;3;2;2;4.000058146
Sub102;8;2;7;2;8.000078535
Sub102;6;3;6;2;6.000079668
Sub102;3;1;4;1;3.000057014
Sub102;4;2;2;1;4.000057391
Sub102;4;3;4;1;4.000055503
Sub102;6;3;3;2;6.000055881
Sub102;8;3;4;2;8.000079291
Sub102;4;2;1;1;4.000058902
Sub102;4;3;10;1;4.000057391
Sub102;4;3;3;2;4.000057391
Sub102;7;1;3;2;7.000078158
Sub102;4;1;7;1;4.000056636
Sub102;3;2;10;1;3.000057391
Sub102;6;3;10;2;6.000080046
Sub102;5;3;8;2;5.000057014
Sub102;8;1;10;2;8.00007778
Sub102;5;3;10;2;5.000057014
Sub102;4;3;3;1;4.000057391
Sub102;6;1;9;2;6.000056259
Sub102;7;3;4;2;7.000078913
Sub102;3;1;10;1;3.000094016
Sub102;7;3;9;2;7.000087975
Sub102;3;1;5;1;3.000057014
Sub102;7;2;5;2;7.000057391
Sub102;3;3;9;1;3.000057014
Sub102;6;2;3;2;6.000075515
Sub102;8;2;1;2;8.000078158
Sub102;7;3;1;2;7.000078158
Sub102;2;1;1;1;2.000059279
Sub102;8;2;4;2;8.00007778
Sub102;6;1;3;2;6.000057014
Sub102;3;1;9;1;3.000069096
Sub102;5;3;3;1;5.000056636
Sub102;2;2;6;1;2.000057769
Sub102;3;1;4;1;3.000057391
Sub102;7;2;6;1;7.00007778
Sub102;5;3;5;2;5.000057391
Sub102;7;2;8;2;7.000057769
Sub102;5;3;2;2;5.000058146
Sub102;6;2;5;2;6.000057014
Sub102;2;1;5;1;2.000055881
Sub102;2;1;8;1;2.000056636
Sub102;4;1;5;2;4.000056636
Sub102;8;2;6;2;8.000092128
Sub102;2;2;9;1;2.000057014
Sub102;4;2;5;1;4.000057391
Sub102;3;1;9;1;3.000057769
Sub102;3;2;5;1;3.000056259
Sub102;2;3;2;1;2.000055881
Sub102;8;3;9;2;8.000080046
Sub102;8;3;8;2;8.000078535
Sub102;5;2;6;1;5.000057391
Sub102;6;2;10;2;6.000057014
Sub102;3;2;6;1;3.000057391
Sub102;3;1;2;1;3.000057391
Sub102;4;2;6;2;4.000057014
Sub102;3;2;9;1;3.000057391
Sub102;3;3;3;1;3.000056636
Sub102;3;2;3;1;3.000058524
Sub102;5;1;10;2;5.000057014
Sub102;7;2;2;2;7.000124599
Sub102;5;2;4;2;5.000057014
Sub102;5;3;4;2;5.000058146
Sub102;2;2;10;1;2.000058524
Sub102;2;3;2;1;2.000057769
Sub102;4;1;5;1;4.000058146
Sub102;7;3;5;2;7.000057391
Sub102;7;2;9;2;7.000078913
Sub102;2;1;1;1;2.000057391
Sub102;5;2;7;2;5.000058146
Sub102;6;1;8;2;6.000057014
Sub102;3;2;4;1;3.000057014
Sub102;7;3;8;2;7.000056259
Sub102;8;2;6;2;8.000077025
Sub102;6;3;2;2;6.000059657
Sub102;8;3;5;1;8.000078913
Sub102;7;1;9;2;7.000057391
Sub102;8;2;10;1;8.000090618
Sub102;6;1;6;2;6.000055881
Sub102;2;2;7;1;2.000075137
Sub102;7;2;3;2;7.000056636
Sub102;2;2;3;1;2.000058524
Sub102;3;1;7;1;3.000057769
Sub102;3;1;10;1;3.000057769
Sub102;2;3;8;1;2.000058524
Sub102;5;2;7;1;5.000057769
Sub102;6;3;3;2;6.000078158
Sub102;6;2;5;2;6.000080046
Sub102;3;3;5;1;3.000069474
Sub102;3;1;8;1;3.000057014
Sub102;7;1;8;2;7.000057014
Sub102;8;1;6;2;8.000080046
Sub102;7;1;6;2;7.000057769
Sub102;3;3;3;1;3.000056636
Sub102;3;1;1;1;3.000057391
Sub102;4;2;2;1;4.000056636
Sub102;6;1;6;2;6.000058146
Sub102;8;1;3;2;8.000078913
Sub102;5;3;10;2;5.000057014
Sub102;5;3;8;1;5.000057769
Sub102;6;1;4;2;6.000056636
Sub102;8;3;2;2;8.000078913
Sub102;4;2;8;2;4.000056636
Sub102;3;3;10;1;3.000058524
Sub102;3;1;3;1;3.000057391
Sub102;3;2;2;1;3.000056636
Sub102;5;3;6;2;5.000057769
Sub102;5;2;3;2;5.000057014
Sub102;3;3;9;1;3.000055881
Sub102;6;3;5;2;6.000057391
Sub102;2;2;4;1;2.000057769
Sub102;4;2;6;2;4.000057014
Sub102;8;3;7;2;8.000077403
Sub102;5;1;3;2;5.000058902
Sub102;8;3;10;2;8.000078913
Sub102;4;1;8;1;4.000057391
Sub102;4;2;10;1;4.000057769
Sub102;8;2;7;2;8.000078158
Sub102;6;1;10;2;6.000057391
Sub102;3;2;1;1;3.000056636
Sub102;6;2;2;2;6.000078535
Sub102;8;2;10;2;8.00007778
Sub102;4;3;1;1;4.000057014
Sub102;6;2;4;1;6.000078913
Sub102;6;1;8;2;6.000078535
Sub102;7;3;2;2;7.000078535
Sub102;3;1;3;1;3.000057391
Sub102;2;3;10;1;2.000057769
Sub102;7;1;7;2;7.000080046
Sub102;3;3;2;1;3.000058902
Sub102;5;2;1;2;5.000057014
Sub102;2;1;2;1;2.000058146
Sub102;2;1;2;1;2.000056636
Sub102;3;1;8;1;3.000056636
Sub102;5;3;5;2;5.000056259
Sub102;8;1;7;2;8.000078913
Sub102;2;3;3;1;2.000056259
Sub102;7;3;3;2;7.000078913
Sub102;8;1;8;2;8.000078535
Sub102;2;2;6;1;2.000057014
Sub102;2;3;3;1;2.000058524
Sub102;5;1;9;1;5.000057769
Sub102;5;1;10;2;5.00012913
Sub102;7;3;3;2;7.000078913
Sub102;3;3;8;1;3.000057014
Sub102;8;2;9;2;8.000091751
Sub102;6;1;9;2;6.000058146
Sub102;7;3;4;2;7.000080423
Sub102;2;2;5;1;2.000057014
Sub102;2;1;3;1;2.000057769
Sub102;7;3;2;2;7.000078158
Sub102;8;1;5;2;8.000078535
Sub102;4;1;9;1;4.000057391
Sub102;4;2;7;1;4.000057769
Sub102;3;3;6;1;3.000057769
Sub102;2;3;9;1;2.000056636
Sub102;7;1;5;2;7.000078158
Sub102;3;3;1;1;3.000071739
Sub102;2;1;9;1;2.000056636
Sub102;3;3;10;1;3.000058146
Sub102;5;2;8;2;5.000057014
Sub102;7;3;6;2;7.000057391
Sub102;2;2;9;1;2.000069096
Sub102;7;3;8;2;7.000057769
Sub102;2;3;10;1;2.000069096
Sub102;8;2;5;1;8.000078158
Sub102;2;3;4;1;2.000083066
Sub102;5;3;7;2;5.000075892
Sub102;4;3;8;2;4.000086464
Sub102;5;1;3;2;5.000083066
Sub102;2;1;10;1;2.000057391
Sub102;2;1;4;1;2.000057014
Sub102;8;1;9;2;8.000078158
Sub102;2;3;7;1;2.000057391
Sub102;4;2;10;2;4.000057014
Sub102;2;3;6;1;2.000057391
Sub102;4;2;9;1;4.000057391
Sub102;4;2;1;1;4.000057391
Sub102;6;3;7;1;6.000080423
Sub102;3;3;4;1;3.000124599
Sub102;3;3;7;2;3.000058146
Sub102;7;1;2;2;7.000055503
Sub102;3;2;4;1;3.000056259
Sub102;7;2;8;2;7.000081934
Sub102;3;2;2;1;3.000058146
Sub102;5;2;5;1;5.000057391
Sub102;7;2;2;2;7.000056259
Sub102;8;2;3;2;8.000081178
Sub102;4;1;4;1;4.000057391
Sub102;7;3;10;2;7.000080423
Sub102;4;1;2;1;4.000055881
Sub102;3;3;1;1;3.000057014
Sub102;6;1;7;2;6.000080423
Sub102;4;3;9;2;4.000057391
Sub102;5;1;7;2;5.000057014
Sub102;4;3;6;2;4.000069851
Sub102;8;3;3;2;8.000082311
Sub102;7;2;10;2;7.000057769
Sub102;7;2;9;2;7.000081556
Sub102;5;3;7;1;5.000056259
Sub102;5;2;1;1;5.000057391
Sub102;2;2;2;1;2.000059279
Sub102;5;1;9;1;5.000057014
Sub102;8;2;9;2;8.000080423
Sub102;6;2;8;2;6.000057014
Sub102;3;3;7;2;3.000057769
Sub102;7;1;8;2;7.000080423
Sub102;7;3;7;2;7.000080046
Sub102;2;1;7;1;2.000056636
Sub102;6;1;1;2;6.000081934
Sub102;4;1;1;1;4.000057391
Sub102;6;3;7;2;6.000056259
Sub102;2;3;9;2;2.000058146
Sub102;8;1;1;2;8.000079668
Sub102;7;2;7;2;7.000082311
Sub102;2;1;9;1;2.000056636
Sub102;6;2;8;2;6.000079668
Sub102;3;2;3;1;3.000057769
Sub102;4;2;3;2;4.000058524
Sub102;5;1;7;2;5.000057391
Sub102;6;1;10;2;6.000057391
Sub102;5;2;5;1;5.000057014
Sub102;3;3;2;1;3.000056636
Sub102;7;3;1;1;7.000057769
Sub102;6;1;5;2;6.000057769
Sub102;5;1;2;2;5.000057014
Sub102;6;3;8;2;6.000058902
Sub102;2;3;7;1;2.000058524
Sub102;3;3;4;1;3.000057391
Sub102;5;3;9;1;5.000057014
Sub102;7;1;3;2;7.000057391
Sub102;7;3;5;2;7.000081934
Sub102;6;2;7;2;6.000082311
Sub102;7;2;7;2;7.000080046
Sub102;2;3;1;1;2.000057769
Sub102;2;3;5;1;2.000057014
Sub102;5;2;2;2;5.000059657
Sub102;4;3;10;1;4.000057391
